match,date
all,01/01/2020
all,02/01/2020
all,03/01/2020
all,04/01/2020
all,05/01/2020
all,06/01/2020
all,07/01/2020
all,08/01/2020
all,09/01/2020
all,10/01/2020
all,11/01/2020
all,12/01/2020
all,13/01/2020
all,14/01/2020
all,15/01/2020
all,16/01/2020
all,17/01/2020
all,18/01/2020
all,19/01/2020
all,20/01/2020
all,21/01/2020
all,22/01/2020
all,23/01/2020
all,24/01/2020
all,25/01/2020
all,26/01/2020
all,27/01/2020
all,28/01/2020
all,29/01/2020
all,30/01/2020
all,31/01/2020
all,01/02/2020
all,02/02/2020
all,03/02/2020
all,04/02/2020
all,05/02/2020
all,06/02/2020
all,07/02/2020
all,08/02/2020
all,09/02/2020
all,10/02/2020
all,11/02/2020
all,12/02/2020
all,13/02/2020
all,14/02/2020
all,15/02/2020
all,16/02/2020
all,17/02/2020
all,18/02/2020
all,19/02/2020
all,20/02/2020
all,21/02/2020
all,22/02/2020
all,23/02/2020
all,24/02/2020
all,25/02/2020
all,26/02/2020
all,27/02/2020
all,28/02/2020
all,29/02/2020
all,01/03/2020
all,02/03/2020
all,03/03/2020
all,04/03/2020
all,05/03/2020
all,06/03/2020
all,07/03/2020
all,08/03/2020
all,09/03/2020
all,10/03/2020
all,11/03/2020
all,12/03/2020
all,13/03/2020
all,14/03/2020
all,15/03/2020
all,16/03/2020
all,17/03/2020
all,18/03/2020
all,19/03/2020
all,20/03/2020
all,21/03/2020
all,22/03/2020
all,23/03/2020
all,24/03/2020
all,25/03/2020
all,26/03/2020
all,27/03/2020
all,28/03/2020
all,29/03/2020
all,30/03/2020
all,31/03/2020
all,01/04/2020
all,02/04/2020
all,03/04/2020
all,04/04/2020
all,05/04/2020
all,06/04/2020
all,07/04/2020
all,08/04/2020
all,09/04/2020
all,10/04/2020
all,11/04/2020
all,12/04/2020
all,13/04/2020
all,14/04/2020
all,15/04/2020
all,16/04/2020
all,17/04/2020
all,18/04/2020
all,19/04/2020
all,20/04/2020
all,21/04/2020
all,22/04/2020
all,23/04/2020
all,24/04/2020
all,25/04/2020
all,26/04/2020
all,27/04/2020
all,28/04/2020
all,29/04/2020
all,30/04/2020
all,01/05/2020
all,02/05/2020
all,03/05/2020
all,04/05/2020
all,05/05/2020
all,06/05/2020
all,07/05/2020
all,08/05/2020
all,09/05/2020
all,10/05/2020
all,11/05/2020
all,12/05/2020
all,13/05/2020
all,14/05/2020
all,15/05/2020
all,16/05/2020
all,17/05/2020
all,18/05/2020
all,19/05/2020
all,20/05/2020
all,21/05/2020
all,22/05/2020
all,23/05/2020
all,24/05/2020
all,25/05/2020
all,26/05/2020
all,27/05/2020
all,28/05/2020
all,29/05/2020
all,30/05/2020
all,31/05/2020
all,01/06/2020
all,02/06/2020
all,03/06/2020
all,04/06/2020
all,05/06/2020
all,06/06/2020
all,07/06/2020
all,08/06/2020
all,09/06/2020
all,10/06/2020
all,11/06/2020
all,12/06/2020
all,13/06/2020
all,14/06/2020
all,15/06/2020
all,16/06/2020
all,17/06/2020
all,18/06/2020
all,19/06/2020
all,20/06/2020
all,21/06/2020
all,22/06/2020
all,23/06/2020
all,24/06/2020
all,25/06/2020
all,26/06/2020
all,27/06/2020
all,28/06/2020
all,29/06/2020
all,30/06/2020
all,01/07/2020
all,02/07/2020
all,03/07/2020
all,04/07/2020
all,05/07/2020
all,06/07/2020
all,07/07/2020
all,08/07/2020
all,09/07/2020
all,10/07/2020
all,11/07/2020
all,12/07/2020
all,13/07/2020
all,14/07/2020
all,15/07/2020
all,16/07/2020
all,17/07/2020
all,18/07/2020
all,19/07/2020
all,20/07/2020
all,21/07/2020
all,22/07/2020
all,23/07/2020
all,24/07/2020
all,25/07/2020
all,26/07/2020
