vek,population
0,113866
1,114916
2,113801
3,112507
4,112082
5,109347
6,110396
7,110124
8,120209
9,121898
10,123396
11,118964
12,109278
13,103505
14,98771
15,95037
16,94185
17,92839
18,93186
19,92144
20,93667
21,94611
22,95440
23,101623
24,112676
25,126896
26,128501
27,136768
28,138864
29,137948
30,143280
31,142138
32,144427
33,147552
34,147794
35,147995
36,151034
37,151785
38,160010
39,176151
40,181386
41,183758
42,188194
43,191246
44,192819
45,180371
46,163487
47,153833
48,147672
49,141672
50,134662
51,134517
52,135735
53,140570
54,146483
55,140963
56,126447
57,122833
58,119971
59,117993
60,126732
61,135049
62,138930
63,139459
64,138790
65,138436
66,139469
67,138562
68,134452
69,129023
70,131053
71,133154
72,125905
73,98843
74,100918
75,95195
76,81762
77,75535
78,71230
79,60173
80,54763
81,48743
82,45004
83,41781
84,38877
85,35413
86,33043
87,28777
88,25063
89,19936
90,16200
91,12656
92,9797
93,7251
94,5348
95,4024
96,2596
97,1681
98,901
99,430
100,623
